,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sri Lanka,Sri Lanka,GPE,0.39583333,1.04166667,en,2.40000000,4009696-8,1227603,X,7.00000000,81.00000000,INDIAN,Sri Lanka,BOB
Calif.,Calif.,GPE,0.17129630,0.97453704,en,2.40000000,,-1,,,,,,
Nebraska,Nebraska,GPE,0.06423611,0.43055556,en,2.40000000,4117792-7,5073708,X,41.50027900,-99.75066900,NORTH-AMERICA,United States,CNA
New Zealand,New Zealand,GPE,0.20833333,0.77898551,en,2.30000000,,-1,,,,,,
Iowa,Iowa,GPE,0.13405797,1.01630435,en,2.30000000,4109226-0,4862182,X,42.70000000,-93.50048900,NORTH-AMERICA,United States,CNA
NCR,NCR,GPE,0.04649758,0.66485507,en,2.30000000,,-1,,,,,,
Noida,Noida,GPE,0.13043478,0.41304348,en,2.30000000,7669301-6,7279746,X,28.57999900,77.32999900,ASIA,India,SAS
Jamaica,Jamaica,GPE,-0.55032140,2.73158861,en,2.20000000,4028456-6,3489940,X,18.25000000,-77.50000000,CENTRAL-AMERICA,Jamaica,CAR
Atlanta,Atlanta,GPE,0.63378099,1.30199725,en,2.20000000,4086063-2,4180439,X,33.74888800,-84.38777700,NORTH-AMERICA,United States,ENA
Dover,Dover,GPE,0.48498623,0.67217631,en,2.20000000,4085482-6,2651048,X,51.13333000,1.30000000,EUROPE,United Kingdom,NEU
Massachusetts,Massachusetts,GPE,0.06847698,0.58972845,en,2.20000000,4037858-5,6254926,X,42.36565000,-71.10832000,NORTH-AMERICA,United States,ENA
the Caribbean Sea,the Caribbean Sea,LOC,-0.02234075,0.65769944,en,2.20000000,,-1,,,,,,
Iceland,Iceland,GPE,0.33409091,0.93712121,en,2.20000000,4027754-9,2629691,X,65.00000000,-18.00000000,POLAR,Iceland,GIC
Missouri,Missouri,GPE,0.14848485,1.73914141,en,2.20000000,,-1,,,,,,
MELBOURNE,MELBOURNE,GPE,0.00605077,1.00676407,en,2.20000000,,-1,,,,,,
Rome,Rome,GPE,0.00992063,0.19841270,en,2.10000000,,-1,,,,,,
South Australia's,South Australia's,GPE,0.15151515,0.53679654,en,2.10000000,,-1,,,,,,
Cambridge,Cambridge,GPE,0.40476190,0.40476190,en,2.10000000,4009351-7,2653941,X,52.20000000,0.11667000,EUROPE,United Kingdom,NEU
Americas,Americas,LOC,0.07485570,0.81565657,en,2.10000000,,-1,,,,,,
Louvre,Louvre,GPE,-0.28571429,0.52116402,en,2.10000000,,-1,,,,,,
Milan,Milan,GPE,0.00912698,0.28452381,en,2.10000000,4037100-1,3173435,X,45.46426900,9.18951000,EUROPE,Italy,WCE
Bihar,Bihar,GPE,-0.01515152,0.46536797,en,2.10000000,4006563-7,1275715,X,25.75000000,85.75000000,ASIA,India,SAS
Chandigarh,Chandigarh,GPE,-0.00793651,0.44047619,en,2.10000000,,-1,,,,,,
East Antarctica,East Antarctica,LOC,0.00738536,0.48974868,en,2.10000000,,-1,,,,,,
Rio de Janeiro,Rio de Janeiro,GPE,-0.04761905,0.16666667,en,2.10000000,4076741-3,3451190,X,-22.90277700,-43.20750000,SOUTH-AMERICA,Brazil,SES
Tasmania,Tasmania,GPE,-0.07836013,0.62069676,en,2.10000000,,-1,,,,,,
Prairies,Prairies,GPE,0.14583333,0.57837302,en,2.10000000,,-1,,,,,,
Edinburgh,Edinburgh,GPE,0.09490741,0.46031746,en,2.10000000,4013557-3,2650225,X,55.95206000,-3.19648000,EUROPE,United Kingdom,NEU
Allan Hills,Allan Hills,GPE,-0.01140873,0.43402778,en,2.10000000,,-1,,,,,,
South Carolina,South Carolina,GPE,0.05591631,0.16522367,en,2.10000000,4055656-6,4597040,X,34.30000000,-81.00000000,NORTH-AMERICA,United States,ENA
Indonesia,Indonesia,GPE,0.19318182,1.22727273,en,2.00000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
tempe,tempe,GPE,-0.02083333,0.10416667,en,2.00000000,,-1,,,,,,
TX,TX,GPE,0.26250000,0.48625000,en,2.00000000,,-1,,,,,,
Georgia,Georgia,GPE,0.15849282,1.12480064,en,1.90000000,4020273-2,4197000,X,32.75041900,-83.50018000,NORTH-AMERICA,United States,ENA
SMA,SMA,GPE,0.24122807,0.59210526,en,1.90000000,,-1,,,,,,
"the East
","the East
",LOC,0.42105263,1.28947368,en,1.90000000,,-1,,,,,,
Nevada,Nevada,GPE,0.15789474,0.85964912,en,1.90000000,4041996-4,5509151,X,39.25021000,-116.75118900,NORTH-AMERICA,United States,WNA
the Great Plains,the Great Plains,LOC,0.89473684,1.62719298,en,1.90000000,,-1,,,,,,
Accor,Accor,GPE,0.44736842,0.63157895,en,1.90000000,,-1,,,,,,
Alps,Alps,GPE,-0.35964912,0.97368421,en,1.90000000,,-1,,,,,,
San Antonio,San Antonio,GPE,-0.05623434,1.06229114,en,1.90000000,,-1,,,,,,
British Columbia,British Columbia,GPE,0.07236842,0.26973684,en,1.90000000,4069670-4,5909050,X,53.99983000,-125.00320000,NORTH-AMERICA,Canada,NWN
Kuwait,Kuwait,GPE,-0.19736842,1.57894737,en,1.90000000,4073919-3,285570,X,29.50000000,47.75000000,ASIA,Kuwait,ARP
Nashville,Nashville,GPE,-0.08187135,0.99415205,en,1.90000000,,-1,,,,,,
WMO,WMO,LOC,0.28508772,1.31578947,en,1.90000000,,-1,,,,,,
Edmonton,Edmonton,GPE,-0.18086124,1.08133971,en,1.90000000,,-1,,,,,,
Brussels,Brussels,GPE,0.13168724,0.56172840,en,1.80000000,4008460-7,2800866,X,50.85027700,4.34861100,EUROPE,Belgium,WCE
Shropshire,Shropshire,GPE,-0.00462963,0.27314815,en,1.80000000,4359433-5,2638655,X,52.66666600,-2.75000000,EUROPE,United Kingdom,NEU
Charlotte,Charlotte,GPE,-0.06944444,0.19444444,en,1.80000000,,-1,,,,,,
the Upper Midwest,the Upper Midwest,LOC,-0.06001157,0.34074074,en,1.80000000,,-1,,,,,,
the South Americ,the South Americ,LOC,-0.10185185,0.21388889,en,1.80000000,,-1,,,,,,
Rockaway Beach,Rockaway Beach,GPE,-0.06666667,0.20740741,en,1.80000000,,-1,,,,,,
Galilee,Galilee,GPE,-0.05555556,0.22222222,en,1.80000000,,-1,,,,,,
EAGAN,EAGAN,GPE,0.16203704,0.34259259,en,1.80000000,,-1,,,,,,
Madhya Pradesh,Madhya Pradesh,GPE,0.30366162,0.63952020,en,1.80000000,4234626-5,1264542,X,23.50000000,78.50000000,ASIA,India,SAS
SYDNEY,SYDNEY,GPE,-0.24305556,0.30555556,en,1.80000000,,-1,,,,,,
Dhaka,Dhaka,GPE,0.10390947,0.61728395,en,1.80000000,4230727-2,1185241,X,23.71039900,90.40743900,ASIA,Bangladesh,SAS
Hopetoun,Hopetoun,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
North East Victoria,North East Victoria,GPE,-0.19444444,0.33333333,en,1.80000000,,-1,,,,,,
Carolinas,Carolinas,GPE,0.10000000,0.16388889,en,1.80000000,,-1,,,,,,
Northwest India,Northwest India,GPE,0.06060606,0.25757576,en,1.80000000,,-1,,,,,,
the Potomac River,the Potomac River,LOC,0.05902778,0.38888889,en,1.80000000,,-1,,,,,,
Lagos,Lagos,GPE,-0.06944444,0.55555556,en,1.80000000,4111183-7,2332459,X,6.45305900,3.39583000,AFRICA,,WAF
Sea Eagles,Sea Eagles,LOC,-0.11111111,0.19444444,en,1.80000000,,-1,,,,,,
Rhine,Rhine,GPE,-0.04583333,0.27638889,en,1.80000000,,-1,,,,,,
N.J.,N.J.,GPE,-0.12962963,0.19444444,en,1.80000000,,-1,,,,,,
Callander,Callander,GPE,0.12500000,0.47222222,en,1.80000000,,-1,,,,,,
Telangana,Telangana,GPE,0.25000000,0.37500000,en,1.80000000,,-1,,,,,,
PRINCETON,PRINCETON,GPE,-0.12962963,0.19444444,en,1.80000000,,-1,,,,,,
North-West,North-West,GPE,0.16435185,0.54166667,en,1.80000000,,-1,,,,,,
De Bilt,De Bilt,LOC,0.20833333,0.27777778,en,1.80000000,4405019-7,2757783,X,52.10999900,5.18055900,EUROPE,The Netherlands,NEU
Seattle,Seattle,GPE,0.03703704,0.23456790,en,1.80000000,,-1,,,,,,
Vidarbha,Vidarbha,GPE,0.00315657,0.23042929,en,1.80000000,,-1,,,,,,
eastern England,eastern England,LOC,0.07523148,0.42129630,en,1.80000000,,-1,,,,,,
HOUSTON,HOUSTON,GPE,0.19149832,0.62289562,en,1.80000000,,-1,,,,,,
DALIAN,DALIAN,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Jersey,Jersey,GPE,0.22222222,0.45833333,en,1.80000000,4028585-6,3042142,X,49.21667000,-2.11667000,EUROPE,Jersey,WCE
The National Oceanic,The National Oceanic,LOC,0.10317460,0.40211640,en,1.80000000,,-1,,,,,,
Minn.,Minn.,GPE,0.16203704,0.34259259,en,1.80000000,,-1,,,,,,
Disneyland Paris,Disneyland Paris,GPE,0.00000000,0.11111111,en,1.80000000,,-1,,,,,,
Lahore,Lahore,GPE,0.05555556,0.22222222,en,1.80000000,4034107-0,1172451,X,31.54972000,74.34360900,ASIA,Pakistan,WCA
Kota Setar,Kota Setar,LOC,0.19444444,0.30555556,en,1.80000000,,-1,,,,,,
Penguin Island,Penguin Island,GPE,0.08333333,0.30555556,en,1.80000000,,-1,,,,,,
LA,LA,GPE,-0.01388889,0.77777778,en,1.80000000,,-1,,,,,,
Santa Clarita,Santa Clarita,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Leeds,Leeds,GPE,-0.05555556,0.27777778,en,1.80000000,4111234-9,2644688,X,53.79648000,-1.54785000,EUROPE,United Kingdom,NEU
Western Australia's,Western Australia's,LOC,0.08585859,0.41952862,en,1.80000000,,-1,,,,,,
Knoxville,Knoxville,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
eastern seaboard,eastern seaboard,LOC,-0.06712963,0.76851852,en,1.80000000,,-1,,,,,,
Southwestern United States,Southwestern United States,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
the Antarctic Peninsula,the Antarctic Peninsula,LOC,0.35416667,0.54861111,en,1.80000000,,-1,,,,,,
Palm Springs,Palm Springs,GPE,0.16666667,0.42592593,en,1.80000000,,-1,,,,,,
Liverpool,Liverpool,GPE,0.41666667,0.58333333,en,1.80000000,4036068-4,2644210,X,53.41058000,-2.97793900,EUROPE,United Kingdom,NEU
Pendang,Pendang,GPE,0.19444444,0.30555556,en,1.80000000,,-1,,,,,,
West Coast,West Coast,LOC,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
the Pacific coast,the Pacific coast,LOC,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Vienna,Vienna,GPE,0.09259259,0.21296296,en,1.80000000,4066009-6,2761367,X,48.20819900,16.37169000,EUROPE,Austria,WCE
Southeast Asia,Southeast Asia,LOC,0.03630051,0.29924242,en,1.80000000,,-1,,,,,,
the Western United States,the Western United States,GPE,0.01111111,0.17407407,en,1.80000000,,-1,,,,,,
Morocco,Morocco,GPE,0.05131173,0.83024691,en,1.80000000,4037680-1,2542007,X,32.00000000,-5.00000000,EUROPE-AFRICA,Morocco,MED
Budapest,Budapest,GPE,0.18888889,0.45000000,en,1.80000000,4008684-7,3054643,X,47.49801000,19.03990900,EUROPE,Hungary,WCE
Sonoma,Sonoma,LOC,-0.03703704,0.13425926,en,1.80000000,,-1,,,,,,
Coral Reef,Coral Reef,LOC,-0.11111111,0.37037037,en,1.80000000,,-1,,,,,,
Lake Lacanau,Lake Lacanau,LOC,0.50000000,0.50000000,en,1.80000000,,-1,,,,,,
Mo.,Mo.,GPE,0.13888889,0.47222222,en,1.80000000,,-1,,,,,,
Uttar Pradesh's,Uttar Pradesh's,GPE,0.07102273,0.18465909,en,1.80000000,,-1,,,,,,
Crete,Crete,GPE,-0.28518519,0.41759259,en,1.80000000,,-1,,,,,,
Brighton,Brighton,GPE,0.02777778,0.36111111,en,1.80000000,4008266-0,2654710,X,50.82838000,-0.13947000,EUROPE,United Kingdom,NEU
Brisbane,Brisbane,GPE,0.00000000,0.55555556,en,1.80000000,4212528-5,2174003,X,-27.46793900,153.02808900,OCEANIA,Australia,EAU
Central Europe,Central Europe,LOC,0.09259259,0.35185185,en,1.80000000,,-1,,,,,,
desi,desi,GPE,0.13131313,0.46085859,en,1.80000000,,-1,,,,,,
Singapore,Singapore,GPE,0.13888889,0.18518519,en,1.80000000,4055089-8,1880251,X,1.36667000,103.79999900,ASIA,Singapore,SEA
Decatur,Decatur,GPE,-0.06944444,0.55555556,en,1.80000000,,-1,,,,,,
Beijing,Beijing,GPE,0.09465021,0.34876543,en,1.80000000,4075971-4,1816670,X,39.90750000,116.39722200,ASIA,China,EAS
Easter Island,Easter Island,GPE,0.63888889,0.62500000,en,1.80000000,,-1,,,,,,
East Antarctic,East Antarctic,LOC,0.28806584,0.58024691,en,1.80000000,,-1,,,,,,
Yemen,Yemen,GPE,0.00000000,0.11111111,en,1.80000000,4073009-8,69543,X,15.50000000,47.50000000,ASIA,Yemen,ARP
the Kashmir Valley,the Kashmir Valley,LOC,0.26851852,0.39814815,en,1.80000000,,-1,,,,,,
US Southwest,US Southwest,LOC,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Seychelles,Seychelles,GPE,0.00000000,0.00000000,en,1.80000000,4054694-9,241170,X,-4.58333000,55.66667000,INDIAN,,EIO
Munnar,Munnar,GPE,0.08670034,0.25505051,en,1.80000000,,-1,,,,,,
Czech Republic,Czech Republic,GPE,0.13888889,0.47222222,en,1.80000000,4303381-7,3077311,X,49.75000000,15.00000000,EUROPE,Czechia,WCE
ORO VALLEY,ORO VALLEY,GPE,-0.15686275,0.15686275,en,1.70000000,,-1,,,,,,
Detroit,Detroit,GPE,0.27556818,1.14037433,en,1.70000000,4011559-8,4990729,X,42.33142900,-83.04574900,NORTH-AMERICA,United States,ENA
BC,BC,GPE,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
Ariz.,Ariz.,GPE,-0.15686275,0.15686275,en,1.70000000,,-1,,,,,,
the equatorial Pacific,the equatorial Pacific,LOC,0.21062092,0.77957516,en,1.70000000,,-1,,,,,,
Michigan,Michigan,GPE,0.00000000,0.00000000,en,1.70000000,4115139-2,5001836,X,44.25028900,-85.50033000,NORTH-AMERICA,United States,ENA
Fraser Coast,Fraser Coast,LOC,0.52941176,0.69281046,en,1.70000000,,-1,,,,,,
Hong Kong,Hong Kong,GPE,0.31372549,0.31372549,en,1.70000000,4025822-1,1819730,X,22.25000000,114.16666600,ASIA,Hong Kong,EAS
Shasta,Shasta,GPE,-0.09150327,0.16993464,en,1.70000000,,-1,,,,,,
Brooklyn,Brooklyn,GPE,0.24688057,0.96345811,en,1.70000000,,-1,,,,,,
ORLANDO,ORLANDO,GPE,0.13970588,0.66911765,en,1.70000000,,-1,,,,,,
Fla.,Fla.,GPE,0.19013666,0.64795009,en,1.70000000,,-1,,,,,,
Austin,Austin,GPE,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
the Mid-Atlantic,the Mid-Atlantic,LOC,-0.17647059,0.26470588,en,1.70000000,,-1,,,,,,
Latin America,Latin America,LOC,-0.18750000,0.12500000,en,1.60000000,,-1,,,,,,
Central India,Central India,LOC,0.33296131,0.83705357,en,1.60000000,,-1,,,,,,
"East
","East
",LOC,-0.40625000,0.81250000,en,1.60000000,,-1,,,,,,
Benfica,Benfica,GPE,0.88541667,1.16145833,en,1.60000000,,-1,,,,,,
Calgary,Calgary,GPE,0.37500000,0.37500000,en,1.60000000,4085122-9,5913490,X,51.05000000,-114.08527700,NORTH-AMERICA,Canada,NWN
Newark,Newark,GPE,-0.46590909,1.01363636,en,1.60000000,4578943-5,2641731,X,53.06666600,-0.81666600,EUROPE,United Kingdom,NEU
Costa Rica,Costa Rica,GPE,0.48958333,1.41666667,en,1.60000000,4010618-4,3624060,X,10.00000000,-84.00000000,CENTRAL-AMERICA,Costa Rica,SCA
Windsor-Essex,Windsor-Essex,GPE,-0.07812500,0.62500000,en,1.60000000,,-1,,,,,,
Meath,Meath,GPE,0.26250000,0.53750000,en,1.60000000,,-1,,,,,,
Venus,Venus,LOC,0.02083333,0.09027778,en,1.60000000,,-1,,,,,,
Ohio,Ohio,GPE,-0.33359638,0.79918981,en,1.60000000,,-1,,,,,,
Canberra,Canberra,GPE,-0.25000000,0.25000000,en,1.60000000,4085133-3,2172517,X,-35.28345900,149.12807000,OCEANIA,Australia,SAU
NY,NY,GPE,0.15868506,0.69512085,en,1.60000000,,-1,,,,,,
Colombia,Colombia,GPE,0.17708333,0.60416667,en,1.60000000,4031812-6,3686110,X,4.00000000,-72.00000000,SOUTH-AMERICA,Colombia,NWS
Broncos,Broncos,LOC,-0.18541667,0.83125000,en,1.60000000,,-1,,,,,,
Atlantic Ocean,Atlantic Ocean,LOC,-0.11458333,1.37708333,en,1.60000000,,-1,,,,,,
the Danube River,the Danube River,LOC,0.17847222,0.88194444,en,1.60000000,,-1,,,,,,
Orlando,Orlando,GPE,0.05358270,0.69886364,en,1.60000000,,-1,,,,,,
South Florida,South Florida,LOC,0.17500000,0.56458333,en,1.60000000,,-1,,,,,,
Istanbul,Istanbul,GPE,0.69084821,1.25446429,en,1.60000000,4027821-9,745044,X,41.01361100,28.94944400,EUROPE-AFRICA,Turkey,MED
Pacific Northwest,Pacific Northwest,LOC,0.06250000,1.18750000,en,1.60000000,,-1,,,,,,
Saudi Arabia,Saudi Arabia,GPE,0.06696429,0.60267857,en,1.60000000,4051788-3,102358,X,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Heathrow,Heathrow,GPE,0.49479167,0.91145833,en,1.60000000,,-1,,,,,,
Casablanca,Casablanca,GPE,0.33333333,1.91666667,en,1.60000000,4085164-3,2553604,X,33.58830900,-7.61137900,EUROPE-AFRICA,Morocco,MED
Scarface,Scarface,GPE,0.33333333,1.91666667,en,1.60000000,,-1,,,,,,
Conn.,Conn.,GPE,-0.17500000,1.35000000,en,1.50000000,,-1,,,,,,
New Orleans,New Orleans,GPE,0.11818182,1.31774892,en,1.40000000,,-1,,,,,,
Gatwick,Gatwick,GPE,0.13690476,0.61309524,en,1.40000000,,-1,,,,,,
Louisville,Louisville,GPE,-0.17948718,0.65384615,en,1.30000000,,-1,,,,,,
Disney Springs,Disney Springs,GPE,0.25349650,0.65268065,en,1.30000000,,-1,,,,,,
St. Pauli,St. Pauli,GPE,-0.23076923,0.23076923,en,1.30000000,,-1,,,,,,
the North Atlantic,the North Atlantic,LOC,-0.16105769,1.08653846,en,1.30000000,,-1,,,,,,
New York Citys,New York Citys,GPE,0.03706294,0.68691309,en,1.30000000,,-1,,,,,,
S. et al,S. et al,GPE,-0.00881410,0.42067308,en,1.30000000,,-1,,,,,,
Southern Ontario,Southern Ontario,LOC,-0.09615385,0.76923077,en,1.30000000,,-1,,,,,,
Charleston,Charleston,GPE,0.11072261,0.29428904,en,1.30000000,,-1,,,,,,
Cumberland,Cumberland,GPE,0.00000000,0.00000000,en,1.30000000,4090641-3,2651716,X,54.75000000,-3.00000000,EUROPE,United Kingdom,NEU
Vancouver city council,Vancouver city council,GPE,0.19580420,0.67832168,en,1.30000000,,-1,,,,,,
Kent,Kent,GPE,-0.30769231,0.76923077,en,1.30000000,4030253-2,3333158,X,51.16666600,0.66666600,EUROPE,United Kingdom,NEU
Cabo San Lucas,Cabo San Lucas,GPE,0.07648601,0.36713287,en,1.30000000,,-1,,,,,,
the Deep South,the Deep South,LOC,0.00000000,0.30769231,en,1.30000000,,-1,,,,,,
Southern Ocean,Southern Ocean,LOC,0.00000000,0.35897436,en,1.30000000,,-1,,,,,,
Cologne,Cologne,GPE,0.23076923,0.34615385,en,1.30000000,,-1,,,,,,
Lohegaon,Lohegaon,GPE,0.41025641,0.67948718,en,1.30000000,,-1,,,,,,
Kansas,Kansas,GPE,-0.00524476,1.32867133,en,1.30000000,4114131-3,4273857,X,38.50028900,-98.50063000,NORTH-AMERICA,United States,CNA
Milky Way,Milky Way,LOC,-0.01748252,0.44941725,en,1.30000000,,-1,,,,,,
Pennsylvania,Pennsylvania,GPE,0.41923077,0.87307692,en,1.30000000,4045103-3,6254927,X,40.27244900,-76.90567000,NORTH-AMERICA,United States,ENA
Northern Canada,Northern Canada,LOC,-0.15384615,0.73076923,en,1.30000000,,-1,,,,,,
VA,VA,GPE,-0.26923077,0.61538462,en,1.30000000,,-1,,,,,,
Central Canada,Central Canada,LOC,0.00000000,0.38461538,en,1.30000000,,-1,,,,,,
east coast,east coast,LOC,0.18269231,0.80769231,en,1.30000000,,-1,,,,,,
Northern California,Northern California,LOC,0.17307692,0.61538462,en,1.30000000,,-1,,,,,,
New Zealand's,New Zealand's,GPE,0.16503497,0.60909091,en,1.30000000,,-1,,,,,,
Western Sydney,Western Sydney,LOC,-0.20512821,0.37606838,en,1.30000000,,-1,,,,,,
Chuphal et al.,Chuphal et al.,GPE,-0.14423077,0.91346154,en,1.30000000,,-1,,,,,,
the Greater Toronto Area,the Greater Toronto Area,GPE,0.64423077,0.85256410,en,1.30000000,,-1,,,,,,
CALIFORNIA,CALIFORNIA,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Manchester,Manchester,GPE,0.78846154,0.82051282,en,1.30000000,4037286-8,2643123,X,53.48095000,-2.23742900,EUROPE,United Kingdom,NEU
Juneau,Juneau,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
the Pacific Northwest,the Pacific Northwest,LOC,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
the Atacama plains,the Atacama plains,LOC,-0.37179487,0.78632479,en,1.30000000,,-1,,,,,,
Gulf,Gulf,LOC,-0.32051282,0.66666667,en,1.30000000,,-1,,,,,,
Armenia,Armenia,GPE,0.00000000,0.00000000,en,1.30000000,4085931-9,174982,X,40.00000000,45.00000000,ASIA,Armenia,WCA
New Africa,New Africa,GPE,0.05108780,0.79906760,en,1.30000000,,-1,,,,,,
Grenoble,Grenoble,GPE,0.06944444,0.38888889,en,1.30000000,4021985-9,3014728,X,45.16667000,5.71666900,EUROPE,France,WCE
Wisconsin,Wisconsin,GPE,-0.12179487,0.43589744,en,1.30000000,4119135-3,5279468,X,44.50023900,-90.10000000,NORTH-AMERICA,United States,CNA
San Francisco,San Francisco,GPE,0.18461538,0.87692308,en,1.30000000,,-1,,,,,,
Ghaziabad,Ghaziabad,GPE,-0.03846154,0.30769231,en,1.30000000,4363209-9,1271308,X,28.66248900,77.43777000,ASIA,India,SAS
the Republic of Ireland,the Republic of Ireland,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Santa Barbara,Santa Barbara,GPE,-0.11538462,0.60256410,en,1.30000000,,-1,,,,,,
Palestine,Palestine,GPE,0.10351648,0.47120879,en,1.30000000,,-1,,,,,,
Ecuador,Ecuador,GPE,-0.01282051,0.32051282,en,1.30000000,4129321-6,3658394,X,-2.00000000,-77.50000000,SOUTH-AMERICA,Ecuador,NWS
Floridas,Floridas,GPE,-0.03076923,0.42307692,en,1.30000000,,-1,,,,,,
Eid al-Adha,Eid al-Adha,GPE,0.30769231,1.53846154,en,1.30000000,,-1,,,,,,
Anadolu,Anadolu,GPE,0.39102564,0.93589744,en,1.30000000,,-1,,,,,,
Southeast Texas,Southeast Texas,LOC,0.16025641,0.51282051,en,1.30000000,,-1,,,,,,
Launceston,Launceston,GPE,0.23076923,0.46153846,en,1.30000000,,-1,,,,,,
Atlantic City,Atlantic City,GPE,0.00000000,0.05128205,en,1.30000000,,-1,,,,,,
Kildare,Kildare,GPE,0.06153846,0.20769231,en,1.30000000,,-1,,,,,,
Maricopa County,Maricopa County,GPE,-0.02136752,0.78632479,en,1.30000000,,-1,,,,,,
Spokane,Spokane,GPE,0.58589744,1.06794872,en,1.30000000,,-1,,,,,,
Goa,Goa,GPE,0.17692308,0.42307692,en,1.30000000,4021394-8,1271156,X,15.50195000,73.91008900,ASIA,India,SAS
Donegal,Donegal,GPE,0.49914530,0.90854701,en,1.30000000,,-1,,,,,,
BOGOTA,BOGOTA,GPE,0.15384615,0.61538462,en,1.30000000,,-1,,,,,,
Rideau,Rideau,GPE,0.24358974,0.70512821,en,1.30000000,,-1,,,,,,
Tipperary,Tipperary,GPE,0.26153846,0.45384615,en,1.30000000,,-1,,,,,,
Kilkenny,Kilkenny,GPE,0.32307692,0.66153846,en,1.30000000,4265639-4,2963398,X,52.65417000,-7.25222000,EUROPE,Ireland,NEU
Tampa,Tampa,GPE,-0.05369630,0.24683650,en,1.30000000,,-1,,,,,,
Tuggeranong,Tuggeranong,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Wexford,Wexford,GPE,0.06153846,0.20769231,en,1.30000000,4405190-6,2960964,X,52.33417000,-6.45749900,EUROPE,,NEU
Oklahoma,Oklahoma,GPE,0.29967949,0.89743590,en,1.30000000,4102053-4,4544379,X,35.49208900,-97.50328000,NORTH-AMERICA,United States,CNA
the South Pacific,the South Pacific,LOC,-0.57692308,0.96153846,en,1.30000000,,-1,,,,,,
the Mediterranean Sea,the Mediterranean Sea,LOC,0.08449883,0.62354312,en,1.30000000,,-1,,,,,,
the Grand Canyon,the Grand Canyon,LOC,0.51282051,1.14529915,en,1.30000000,,-1,,,,,,
Fiji,Fiji,GPE,0.20192308,0.84294872,en,1.30000000,4017063-9,2205218,X,-18.00000000,178.00000000,PACIFIC,Fiji,SPO
Northern Territory,Northern Territory,LOC,0.00000000,0.05917160,en,1.30000000,,-1,,,,,,
Mont.,Mont.,GPE,0.06097902,0.25300699,en,1.30000000,,-1,,,,,,
Earth Day,Earth Day,GPE,0.07692308,0.46153846,en,1.30000000,,-1,,,,,,
Hannibal,Hannibal,GPE,0.32051282,0.98931624,en,1.30000000,,-1,,,,,,
Peru,Peru,GPE,-0.01282051,0.32051282,en,1.30000000,4045312-1,3932488,X,-10.00000000,-76.00000000,SOUTH-AMERICA,Peru,NWS
Columbus,Columbus,GPE,0.03472222,0.71527778,en,1.20000000,,-1,,,,,,
Richmond,Richmond,GPE,-0.25000000,0.41666667,en,1.20000000,,-1,,,,,,
Illinois,Illinois,GPE,-0.01388889,0.75462963,en,1.20000000,4109206-5,4896861,X,40.20000000,-89.25037000,NORTH-AMERICA,United States,ENA
West Virginia,West Virginia,GPE,-0.20000000,0.96388889,en,1.20000000,4119079-8,4826850,X,38.50037900,-80.50009000,NORTH-AMERICA,United States,ENA
the National Oceanic,the National Oceanic,LOC,0.02638889,0.77222222,en,1.20000000,,-1,,,,,,
Vital Arctic sea,Vital Arctic sea,LOC,0.11111111,1.00000000,en,1.20000000,,-1,,,,,,
Poland,Poland,GPE,-0.05000000,1.07083333,en,1.20000000,,-1,,,,,,
Thailand,Thailand,GPE,-0.20833333,0.41666667,en,1.20000000,4078228-1,1605651,X,15.00000000,100.00000000,ASIA,Thailand,SEA
DALLAS,DALLAS,GPE,0.29166667,0.16666667,en,1.20000000,,-1,,,,,,
Dal Lake,Dal Lake,LOC,0.10416667,0.75000000,en,1.20000000,,-1,,,,,,
METROPLEX,METROPLEX,GPE,0.29166667,0.16666667,en,1.20000000,,-1,,,,,,
Jaipur,Jaipur,GPE,0.25000000,0.41666667,en,1.20000000,4109106-1,1269515,X,26.91961900,75.78780900,ASIA,India,SAS
New Hampshire,New Hampshire,GPE,0.29220779,0.91450216,en,1.20000000,4042002-4,5090174,X,43.66702000,-71.49979900,NORTH-AMERICA,United States,ENA
DANVERS,DANVERS,GPE,0.29220779,0.91450216,en,1.20000000,,-1,,,,,,
